id;start_date;end_date;language
1;2021-06-26T07:38:55;2021-06-26T05:29:10;ENGLISH
2;2021-06-25T17:06:30;2021-06-26T02:31:59;FRENCH
3;2021-06-26T03:02:42;2021-06-25T15:07:50;SPANISH
4;2021-06-26T07:33:31;2021-06-25T12:59:50;FRENCH
5;2021-06-26T09:49:54;2021-06-25T18:08:52;ENGLISH
6;2021-06-25T19:20:37;2021-06-26T09:20:57;SPANISH
7;2021-06-26T03:24:25;2021-06-25T13:58:34;FRENCH
8;2021-06-25T17:50:18;2021-06-25T14:26:07;FRENCH
9;2021-06-25T18:41:56;2021-06-26T06:13:22;FRENCH
10;2021-06-25T14:38:54;2021-06-26T07:36:23;FRENCH
